,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
30,30042.0,0.346070537539174,0.7728655481710272,0.9300843585868085,0.1149899525890922,0.5380240012826839,0.7639285675351233,0.7639285675351233,0.37695410440585086,14.0,19.0,10.0,13.0,10.0,15.0,8.0,44.0,22.0,34.0,40.0,43.0,55.0,2.0
31,30044.0,0.5145186860346875,0.6746344271930836,0.10573525522005103,0.131296423544325,0.5595382808085075,0.587857146102206,0.587857146102206,0.4150779796157753,8.0,15.0,5.0,22.0,2.0,37.0,2.0,21.0,46.0,47.0,43.0,57.0,40.0,5.0
32,30045.0,0.1780905018730148,0.6057046494146144,0.9426645643767162,0.1941942082319345,0.5653332920719019,0.8842571400101098,0.8842571400101098,0.0008639841801795352,12.0,14.0,9.0,20.0,10.0,24.0,7.0,34.0,43.0,35.0,37.0,46.0,44.0,2.0
33,30046.0,0.4055237518516546,0.9569348091583418,0.9248030583321871,0.1033554514260555,0.4495238080439642,1.0,0.9495238080439643,1.0,10.0,14.0,8.0,15.0,10.0,11.0,6.0,39.0,33.0,49.0,44.0,39.0,35.0,7.0
34,30050.0,0.4334423676268714,0.6822540830969276,0.5170120769498323,0.0661466637001618,0.7045169479176469,0.5692857064907532,0.5692857064907532,0.22968490496094798,21.0,24.0,15.0,16.0,17.0,11.0,6.0,37.0,23.0,46.0,40.0,54.0,45.0,2.0
35,30051.0,0.4445322659991783,0.8142245474794668,0.6045398506130888,0.0630414195858489,0.5628047652740404,0.6103571476520367,0.6103571476520369,0.4016192978759273,14.0,15.555555555555555,11.0,11.11111111111111,5.0,22.0,4.0,24.0,31.63636363636364,38.0,43.0,49.0,35.0,3.0
36,30053.0,0.2755879818800684,0.5555808969822074,0.7566208758918681,0.1317371355109281,0.6057692369540874,0.6685714311131612,0.6685714311131613,0.28663791611070927,16.0,12.0,12.0,21.0,13.0,26.0,6.0,26.0,37.0,36.0,37.0,50.0,44.0,2.0
37,30054.0,0.3693439744236625,0.5914278658458133,0.8061478212837041,0.160490397440124,0.3724954507931939,0.6535714317044454,0.6535714317044454,0.7405498229661781,10.0,19.0,12.0,16.0,11.0,31.0,9.0,36.0,46.0,33.0,41.0,49.0,37.0,4.0
38,30055.0,0.4379768587032744,0.9565936894559145,0.9614774787879308,0.0462245015768327,0.6802232934576962,0.4478571425071936,0.4478571425071938,0.3538162938705572,6.0,10.0,4.0,17.0,3.0,33.0,5.0,21.0,43.0,41.0,46.0,51.0,29.0,6.0
39,30056.0,0.3100677962105186,0.5461188047003204,0.8403549860678539,0.0885869522423082,0.5596236316230324,0.6389285713811369,0.638928571381137,0.39449389025551623,16.0,18.0,14.0,8.0,13.0,20.0,20.0,41.0,28.0,33.0,41.0,39.0,41.0,5.0
40,30057.0,0.3709291685122978,0.7888069308800509,0.7783024580894835,0.0990418676315798,0.7487301992513251,0.6676637332110593,0.6676637332110593,0.0003009000521255412,21.0,15.0,16.0,11.0,13.0,13.0,12.0,40.0,23.0,38.0,39.0,34.0,61.0,0.0
41,30059.0,0.5030054319602864,0.654821037632002,0.39797951173909757,0.1414789917645784,0.5301659181206068,0.631428572495625,0.6314285724956251,0.44832040360293923,18.0,21.0,10.0,18.0,17.0,19.0,7.0,44.0,33.0,44.0,43.0,49.0,53.0,6.0
42,30061.0,0.3607392910112288,0.42398471454447845,0.5683842642086921,0.1443214801723098,0.443342783687508,0.2521428617536117,0.2521428617536117,0.5191021946966007,11.0,19.0,4.0,19.0,9.0,27.0,5.0,25.0,38.0,39.0,47.0,44.0,39.0,8.0
43,30062.0,0.4360361204023921,0.8979776810091151,0.607586710871764,0.0552709420843184,0.4462482026573676,0.6600000047696273,0.6600000047696274,0.604341726471131,15.0,10.0,6.0,19.0,8.0,30.0,2.0,24.0,37.0,45.0,44.0,59.0,30.0,3.0
44,30064.0,0.2677066016868669,0.5984663343624429,0.8960253123049443,0.1171590487867749,0.5582726337469488,0.6864285743963586,0.6864285743963587,0.37243735352404267,2.0,8.0,5.0,10.0,1.0,31.0,2.0,21.0,43.0,43.0,49.0,54.0,32.0,3.0
45,30065.0,0.515905773701762,0.970537076205622,0.7495241713938087,0.0667963777829322,0.5049627768491988,0.4317857198130608,0.4317857198130609,0.4962287885946867,4.444444444444445,10.0,14.0,19.0,6.0,34.0,4.0,31.0,53.0,45.0,48.0,55.0,32.0,5.0
46,30066.0,0.3530362834714663,0.6783571295834323,0.6141786993736341,0.0925974287104726,0.6862272317478147,0.444285716545832,0.4442857165458321,0.35111395988753935,8.0,5.0,1.1111111111111112,14.0,6.0,14.0,13.333333333333334,39.0,34.0,43.63636363636363,43.2,36.0,53.0,6.0
47,30067.0,0.3214062356054533,0.782195298677823,0.9308038633490537,0.0693610004288163,0.5442958659255204,0.854642855925724,0.854642855925724,0.23955772451786006,23.0,20.0,8.0,20.0,12.0,32.0,14.0,45.0,36.0,48.0,46.0,45.0,67.0,0.0
48,30068.0,0.4655583317432007,0.7256013660258416,0.45938190110324456,0.0486390424605498,0.4919540217126145,0.414285722882223,0.41428572288222304,0.5056910580146468,11.0,12.0,9.0,13.0,10.0,12.22222222222222,6.0,40.0,38.0,32.72727272727273,42.0,41.0,47.0,3.0
49,30069.0,0.4446705319729841,0.49833103206075957,0.5481745236878787,0.0365679957331409,0.3782344011895113,0.4692857229831683,0.4692857229831684,0.6076716032465926,10.0,15.0,11.11111111111111,18.0,11.0,27.0,5.0,35.0,41.0,37.0,43.0,42.0,35.0,2.0
50,30070.0,0.4128118841261384,0.8775446428609125,0.7059429777793702,0.1085233827913207,0.3290598315947439,0.7242857119430296,0.7242857119430296,0.949050074428786,24.0,23.0,24.0,22.0,22.0,11.0,19.0,52.0,24.0,34.0,27.0,36.0,56.0,3.0
51,30071.0,0.47008961805426,0.4914203673239872,0.6464592600655792,0.137100457819658,0.4420566735096988,0.7478571402997509,0.7478571402997509,0.6718602323302222,15.0,27.0,3.0,13.0,16.0,25.0,14.0,46.0,38.0,45.0,41.0,41.0,52.0,2.0
52,30072.0,0.356708171090404,0.8173867593729753,0.7479897814847091,0.0933858972098985,0.4257768899625809,0.5325000025703431,0.5325000025703432,0.584542901610714,18.0,20.0,10.0,7.0,8.0,20.0,7.0,35.0,30.0,32.0,39.0,39.0,56.0,1.0
53,30073.0,0.4600320008527542,0.8455195643719343,0.7161572263211217,0.0882652231929995,0.6033138437862813,0.7328571469166736,0.7328571469166736,0.21657752427090973,16.0,19.0,11.0,19.0,15.0,23.0,13.0,28.0,42.0,49.0,45.0,44.0,39.0,6.0
54,30074.0,0.355395121120466,0.6538730258309693,0.670064471538942,0.1411064233999605,0.6693672833942882,0.6171428639446039,0.617142863944604,0.22699004278884657,10.0,7.0,12.0,6.0,15.0,14.0,16.0,40.0,39.0,44.0,39.0,28.0,52.0,0.0
55,30075.0,0.3399241415052076,0.7728412481641973,0.9632064339370473,0.1108123983446817,0.596289481434171,0.7764285818655874,0.7764285818655874,0.16560168494543906,9.0,15.0,13.0,16.0,11.0,28.0,7.0,42.0,41.0,32.0,40.0,52.0,55.0,6.0
56,30076.0,0.3945354590870984,0.7779510036502265,0.7378761253370864,0.0933138652206872,0.5038030098541182,0.6260714254489379,0.626071425448938,0.4936325919910703,18.0,22.0,12.0,18.0,13.0,11.0,30.0,50.0,29.0,43.0,41.0,37.0,69.0,0.0
57,30077.0,0.3306457834226948,0.5933333333333334,0.6352459016393442,0.0062309907848662,0.5282999862580594,0.5889285697831327,0.5889285697831328,0.4594555369049889,21.0,21.0,16.0,22.0,15.0,15.0,0.0,36.0,21.0,33.0,36.0,53.0,63.0,3.0
58,30078.0,0.409216588742241,0.2895418525263872,0.5605863485626358,0.1857047663951348,0.5113314430151121,0.3782142934308836,0.37821429343088364,0.49310741036946526,7.0,14.0,12.0,15.0,9.0,27.0,3.0,26.0,45.0,28.0,47.0,57.0,30.0,5.0
59,30079.0,0.2672210571515144,0.701031541480897,0.7750212571431971,0.0979139560960096,0.32434059387695,0.6923571456295868,0.6923571456295871,0.8953254343424781,8.0,15.0,9.0,9.0,7.0,23.0,16.0,44.0,43.0,35.0,43.0,37.0,38.0,5.0
60,30080.0,0.4876490197935604,0.44166666666666676,0.6029850746268657,0.007929848261495,0.5328618420261112,0.8332142858535853,0.8332142858535855,0.33583152564503854,23.0,24.0,17.0,5.0,21.0,29.0,3.0,15.0,29.0,21.0,39.0,51.0,47.0,2.0
61,30081.0,0.3259643893367559,0.6135966795949546,0.7839654458316795,0.1232478088133816,0.6292682996135222,0.585714282577966,0.585714282577966,0.31724137187409396,19.0,14.0,16.0,16.0,8.0,17.0,23.0,53.0,32.0,41.0,47.0,33.0,57.0,
62,30083.0,0.3043422018139926,0.9087594572540478,0.9498817059091171,0.1292313570211452,0.3885714268758459,1.0,0.8885714268758459,1.0,18.0,22.0,15.0,11.0,16.0,15.0,21.0,50.0,27.0,47.0,37.0,35.0,58.0,3.0
